M_002  CÓDIGO DE ESTUDIO,M_003  TIPO DE LEVANTAMIENTO,M_004  MÉTODO DE LEVANTAMIENTO,PHOTO_1 ,PHOTO_2 ,PHOTO_3 ,PHOTO_4 ,PHOTO_5 ,Q_000  CÓDIGO DE ZONA,Q_001  CÓDIGO DE SEGMENTO,Q_002  EXISTENCIA DE SEGMENTO,Q_003  TIPO DE SEGMENTO,Q_004  CIRCULACIÓN,Q_005  BOCACALLES DE LA INTERSECCIÓN,Q_006  REDONDEL,Q_007  EXTENSIÓN DE ACERA,Q_008A  SEMÁFORO VEHÍCULAR,Q_008B  SEMÁFORO PEATONAL,Q_008C  TEMPORIZADOR,Q_008D  PULSADOR ,Q_008E  SONIDO,Q_008F  SEÑAL DE PARE,Q_008G  SEÑAL DE PASO PEATONAL,Q_009  PASO PEATONAL,Q_010  CONTINUIDAD DEL PASO PEATONAL,"Q_011  RAMPA LADO ""R""","Q_012  RAMPA LADO ""L""","Q_013  ALTO DE ACERA LADO ""R""","Q_014  ALTO DE ACERA LADO ""L""","Q_028B_L EXISTENCIA DE LUGAR ALTERNATIVO EN ""L""","Q_028B_R EXISTENCIA DE LUGAR ALTERNATIVO EN ""R""","Q_028_L EXISTENCIA DE ACERA EN ""L""","Q_028_R EXISTENCIA DE ACERA EN ""R""","Q_029_L CONTINUIDAD EN ""L""","Q_029_R CONTINUIDAD EN ""R""","Q_030_L ANCHO EN ""L""","Q_030_R ANCHO EN ""R""","Q_031_L TIPO DE SUPERFICIE EN ""L""","Q_031_R TIPO DE SUPERFICIE EN ""R""","Q_032_L ESTADO EN ""L""","Q_032_R ESTADO EN ""R""","Q_033_L BUFFER DE SEGURIDAD EN ""L""","Q_033_R BUFFER DE SEGURIDAD EN ""R""","Q_034_L SOMBRA EN ""L""","Q_034_R SOMBRA EN ""R""","Q_035_L BORDILLO REDONDEADO EN ""L""","Q_035_R BORDILLO REDONDEADO EN ""R""","Q_036_L VOLADOS DE EDIFICIOS EN ""L""","Q_036_R VOLADOS DE EDIFICIOS EN ""R""","Q_037_L BASUREROS PÚBLICOS EN ""L""","Q_037_R BASUREROS PÚBLICOS EN ""R""","Q_038_L BANCAS U OTROS SITIOS PARA SENTARSE EN ""L""","Q_038_R BANCAS U OTROS SITIOS PARA SENTARSE EN ""R""","Q_039_L PARQUEADEROS DE BICICLETAS EN ""L""","Q_039_R PARQUEADEROS DE BICICLETAS EN ""R""","Q_040_L LUMINARIAS EN ""L""","Q_040_R LUMINARIAS EN ""R""","Q_041_L ÁRBOLES EN ""L""","Q_041_R ÁRBOLES EN ""R""","Q_042_L ESPACIADO DE ÁRBOLES EN ""L""","Q_042_R ESPACIADO DE ÁRBOLES EN ""R""","Q_043_L PARADAS DE TRANSPORTE PÚBLICO EN ""L""","Q_043_R PARADAS DE TRANSPORTE PÚBLICO EN ""R""","Q_044_L BANCA EN ""L""","Q_044_R BANCA EN ""R""","Q_045_L CUBIERTA EN ""L""","Q_045_R CUBIERTA EN ""R""","Q_046_L INFORMACIÓN EN ""L""","Q_046_R INFORMACIÓN EN ""R""","Q_047_L PERMANENTES SALVABLES EN ""L""","Q_047_R PERMANENTES SALVABLES EN ""R""","Q_048_L PERMANENTES INSALVABLES EN ""L""","Q_048_R PERMANENTES INSALVABLES EN ""R""","Q_049_L TEMPORALES SALVABLES EN ""L""","Q_049_R TEMPORALES SALVABLES EN ""R""","Q_050_L TEMPORALES INSALVABLES EN ""L""","Q_050_R TEMPORALES INSALVABLES EN ""R""","Q_051_L CIRCULANDO EN ""L""","Q_051_R CIRCULANDO EN ""R""","Q_052_L ESTACIONARIOS EN ""L""","Q_052_R ESTACIONARIOS EN ""R""","Q_053_L EXISTENCIA DE CICLOVÍA EN ""L""","Q_053_R EXISTENCIA DE CICLOVÍA EN ""R""","Q_054_L SEGREGADA EN ""L""","Q_054_R SEGREGADA EN ""R""","Q_055_L ANCHO DE CICLOVÍA EN ""L""","Q_055_R ANCHO DE CICLOVÍA EN ""R""","Q_056_L CAMINOS INFORMALES EN ""L""","Q_056_R CAMINOS INFORMALES EN ""R""","Q_057_L PUENTE PEATONAL EN ""L""","Q_057_R PUENTE PEATONAL EN ""R""","Q_058_L ESCALINATA / RAMPA EN ""L""","Q_058_R ESCALINATA / RAMPA EN ""R""","Q_059_L ENTRADAS O CALLEJONES VEHICULARES EN ""L""","Q_059_R ENTRADAS O CALLEJONES VEHICULARES EN ""R""",Q_060  ANCHO DE LA CALZADA,Q_061  MATERIAL DE LA CALZADA,Q_062  CARRILES VEHICULARES,Q_063  ESTACIONAMIENTOS O VEHÍCULOS ESTACIONADOS,Q_064  PARTER CENTRAL,Q_065  PLATAFORMA ÚNICA,Q_066  SEÑAL DE VELOCIDAD MÁXIMA (KM/H),Q_067  ROMPEVELOCIDADES,Q_068  SEÑAL DE ROMPEVELOCIDADES,Q_069  CRUCE A MITAD DEL SEGMENTO,Q_070  ELEMENTOS AGRADABLES,Q_071  JARDINES/PAISAJISMO,Q_072  MANTENIMIENTO GENERAL,Q_073  GRAFITTIS,Q_074  BOCACALLES DE LA INTERSECCIÓN,Q_075  REDONDEL,Q_076  EXTENSIÓN DE ACERA,Q_077A  SEMÁFORO VEHÍCULAR,Q_077B  SEMÁFORO PEATONAL,Q_077C  TEMPORIZADOR,Q_077D  PULSADOR ,Q_077E  SONIDO,Q_077F  SEÑAL DE PARE,Q_077G  SEÑAL DE PASO PEATONAL,Q_078  PASO PEATONAL,Q_079  CONTINUIDAD DEL PASO PEATONAL,"Q_080  RAMPA LADO ""R""","Q_081  RAMPA LADO ""L""","Q_082  ALTO DE ACERA LADO ""R""","Q_083  ALTO DE ACERA LADO ""L""",Q_084  CÓDIGO DEL SEGMENTO,Q_085  FOTOGRAFÍA INICIAL DEL SEGMENTO,Q_086  ESTADO DE LA CALZADA,Q_087  CARRIL DE TRANVÍA,Q_088  DIRECCIONALIDAD DE VÍA,Q_089  SEÑAL DE DIRECCIONALIDAD,Q_090  PENDIENTE LONGITUDINAL,Q_091  PERCEPCIÓN DE SEGURIDAD,Q_092  PERCEPCIÓN DE LA CALIDAD DEL AIRE,Q_093  PERCEPCIÓN DE NIVEL DE RUIDO,Q_094  PERCEPCIÓN DE CAMINABILIDAD,Q_095  FOTOGRAFÍA FINAL DEL SEGMENTO,Q_096A Q_ 096A FOTOGRAFÍA COMPLEMENTARIA_ A (OPCIONAL),Q_096A_D Q_ 096A DESCRIPCIÓN COMPLEMENTARIA_ A (OPCIONAL),Q_096B Q_ 096B FOTOGRAFÍA COMPLEMENTARIA_ B (OPCIONAL),Q_096B_D Q_ 096B DESCRIPCIÓN COMPLEMENTARIA_ B (OPCIONAL),Q_096C  FOTOGRAFÍA COMPLEMENTARIA_ C (OPCIONAL),Q_096C_D Q_ 096C DESCRIPCIÓN COMPLEMENTARIA_ C (OPCIONAL),Q_097  UBICACIÓN FINAL DEL SEGMENTO,_geolocation,_id,_index,fin_seg
tutorial,a,a,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2F40651846-5f66-46c7-b4ba-007a2ae092e5%2Fimage-11_0_8.jpg,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2F40651846-5f66-46c7-b4ba-007a2ae092e5%2Fimage-10_45_8.jpg,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2Faf162a02-9f77-467e-a183-72b9a692408a%2Fimage-10_45_8.jpg,,,01H00481,7354,1,a,a,4,0,0,0,0,0,0,0,0,0,a,1,b,b,b,b,,,1,1,1,1,1.5,1.5,b,b,b,b,0,0,d,d,0,0,c,d,0,0,0,0,0,0,0,4,0,0,,,0,0,,,,,,,0,0,0,0,0,1,0,0,4,3,0,1,c,c,,,,,0,0,0,0,0,0,0,0,8,d,1,3,0,0,0,0,0,d,0,0,c,c,4,0,0,0,0,0,0,0,1,0,a,1,a,a,b,b,7354,image-10_45_8.jpg,c,0,a,1,a,c,c,c,c,image-11_0_8.jpg,,,,,,,-2.903108 -78.999994 2526.490566253662 5,,46540347,51,
tutorial,a,a,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2Ff8f08eee-2444-4ece-b8d0-f32d6d3f970b%2Fimage-11_7_9.jpg,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2Ff8f08eee-2444-4ece-b8d0-f32d6d3f970b%2Fimage-11_27_45.jpg,,,,01H00481,4532,1,a,a,4,0,0,0,0,0,0,0,0,0,f,,b,b,b,b,,,1,1,1,1,1.5,1.5,b,b,c,c,0,0,d,c,0,0,d,c,1,1,0,3,0,0,0,4,0,3,,a,0,0,,,,,,,0,0,0,0,1,0,0,0,5,4,2,0,c,c,,,,,0,0,0,0,0,0,0,1,7.5,d,1,18,0,0,0,0,0,d,0,1,c,c,4,0,0,0,0,0,0,0,0,1,a,1,b,b,b,b,4532,image-11_7_9.jpg,c,0,a,1,a,c,c,c,c,image-11_27_45.jpg,,,,,,,-2.902185 -78.999896 2538.401699066162 5,,46542764,52,
tutorial,a,a,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2F719450e6-234a-4968-80c3-cfeff429f2a3%2Fimage-11_46_9.jpg,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2F719450e6-234a-4968-80c3-cfeff429f2a3%2Fimage-10_44_13.jpg,,,,01H00481,4731,1,a,a,4,0,0,0,0,0,0,0,0,0,f,,b,b,b,b,,,1,1,1,1,1.1,1.1,b,b,a,a,0,0,c,c,0,0,b,b,0,0,0,0,0,0,0,3,0,0,,,0,1,,0,,0,,0,0,3,0,0,0,0,0,0,1,5,0,7,c,c,,,,,0,0,0,0,0,0,0,0,9,b,2,8,0,0,0,0,0,d,0,0,b,c,4,0,0,1,1,0,0,0,0,0,a,1,b,b,b,b,4731,image-10_44_13.jpg,a,0,a,1,a,c,c,d,a,image-11_46_9.jpg,,,,,,,-2.901557 -78.998512 2545.706386566162 5,,46544601,53,
tutorial,a,a,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2Fef0b86c5-2db8-47ad-903e-a5f0156719c5%2F1581435864455.-10_44_37.jpg,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2Fef0b86c5-2db8-47ad-903e-a5f0156719c5%2F1581438428008.-11_27_28.jpg,,,,01H00481,10584,1,a,a,4,0,0,1,0,0,0,0,0,0,a,1,b,b,b,b,,,1,1,1,1,2,2,b,b,a,a,0,0,b,b,0,0,b,b,0,0,0,0,0,0,0,4,0,0,,,0,0,,,,,,,0,0,0,0,0,0,0,0,7,7,0,3,c,c,,,,,0,0,0,0,0,0,0,0,9,d,2,14,0,0,0,0,0,d,0,0,b,b,4,0,0,0,0,0,0,0,1,0,a,1,b,b,b,b,10584,1581435864455.-10_44_37.jpg,c,0,a,0,b,c,e,d,c,1581438428008.-11_27_28.jpg,,,,,,,-2.902218 -78.999778 2551 6.067999839782715,,46544955,54,
tutorial,a,a,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2F54852b37-50c2-4e19-aade-5914f1d43bb0%2F1581439809172.-11_50_34.jpg,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2F54852b37-50c2-4e19-aade-5914f1d43bb0%2F1581439063883.-11_37_56.jpg,,,,01H00481,5237,1,a,a,4,0,0,1,0,0,0,0,0,0,a,1,b,b,b,b,,,1,1,1,1,1.5,1.5,b,b,a,a,0,0,c,c,1,1,d,d,0,0,0,0,0,0,0,1,0,0,,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,c,c,,,,,0,0,0,0,0,0,0,0,8,d,2,2,0,0,0,0,0,d,0,0,b,b,3,0,0,0,0,0,0,0,0,0,f,,c,c,b,b,5237,1581439063883.-11_37_56.jpg,b,0,a,1,a,c,e,e,d,1581439809172.-11_50_34.jpg,,,,,,,-2.901285 -78.998506 2554 24.27199935913086,,46544985,55,
tutorial,a,a,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2F90b52cdf-1e12-43d6-aabe-2229036f896c%2Fimage-12_7_34.jpg,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2F90b52cdf-1e12-43d6-aabe-2229036f896c%2Fimage-11_55_48.jpg,,,,01H00481,2166,1,a,a,4,0,0,0,0,0,0,0,0,0,f,,b,b,b,b,,,1,1,1,1,1.1,1.1,b,b,a,a,0,0,d,c,0,0,e,b,0,1,0,0,0,0,0,5,0,6,,b,0,0,,,,,,,0,0,0,0,0,0,0,0,2,6,0,0,c,c,,,,,0,0,0,0,0,0,0,1,7,b,1,3,0,0,0,0,0,d,0,1,b,c,4,0,0,0,0,0,0,0,0,0,f,,c,b,b,b,2166,image-11_55_48.jpg,a,0,a,1,b,b,b,c,b,image-12_7_34.jpg,,,,,,,-2.903262 -78.998947 2517.313564300537 5,,46546397,56,
tutorial,a,a,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2Fa7705f61-a70d-4862-9151-d875d2ccca30%2F1581438182764.jpg,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2Fa7705f61-a70d-4862-9151-d875d2ccca30%2F1581436181758.jpg,,,,01H00481,5882,1,a,a,4,0,0,1,0,0,0,0,0,1,a,1,c,c,b,c,,,1,1,1,1,2.3,2.1,b,b,b,b,0.0,0.0,b,d,1,1,c,c,0,0,0,0,0,0,0,4,0,0,,,0,0,,,,,,,0,0,0,0,0,0,0,0,5,4,0,0,c,c,,,,,0,0,0,0,0,0,0,1,9.0,d,3,6,0,0,0,0,0,d,0,0,c,c,4,0,1,1,1,0,0,0,0,1,a,1,c,c,b,b,5882,1581436181758.jpg,c,0,a,1,b,b,b,d,b,1581438182764.jpg,,,,,,,-2.90109606 -78.99938324 2575.66748046875 3.9635918,,46546962,59,
tutorial,a,a,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2F2931000b-54b1-401b-86e9-3c925f5c4aab%2F1581441016043.jpg,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2F2931000b-54b1-401b-86e9-3c925f5c4aab%2F1581439840170.jpg,,,,01H00481,6997,1,a,a,4,0,1,0,0,0,0,0,0,0,f,,b,b,b,b,,,1,1,1,1,1.2,1.1,b,b,b,b,0.0,0.0,a,d,1,1,e,b,0,0,0,0,0,0,0,2,0,0,,,0,0,,,,,,,0,0,0,0,0,2,0,0,1,2,0,0,c,c,,,,,0,0,0,0,0,0,0,0,11.0,d,3,9,0,0,0,0,0,d,0,0,c,c,4,0,1,0,0,0,0,0,1,0,f,,b,b,b,b,6997,1581439840170.jpg,c,0,a,1,b,c,d,d,b,1581441016043.jpg,,,,,,,-2.9026152 -78.99869714 2546.06005859375 4.8138885,,46546984,60,
tutorial,a,a,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2F080012c2-6662-42e9-938c-0029218c20c1%2Fimage-11_17_9.jpg,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2F080012c2-6662-42e9-938c-0029218c20c1%2Fimage-10_35_50.jpg,,,,01H00481,8098,1,a,a,3,0,0,0,0,0,0,0,0,0,f,,c,c,b,b,,,1,1,1,1,1.1,1.1,b,b,c,c,0,0,d,d,0,0,c,d,0,0,0,0,0,0,3,0,0,0,,,0,0,,,,,,,3,0,0,0,0,1,0,0,1,5,0,0,c,c,,,,,0,0,0,0,0,0,0,0,8,d,2,0,0,0,0,0,0,d,0,1,c,c,4,0,0,1,1,0,0,0,0,0,a,1,c,c,b,b,8098,image-10_35_50.jpg,b,0,a,1,a,c,c,d,b,image-11_17_9.jpg,,,,,,,-2.900563 -78.99841 2531.803310394287 10,,46695547,61,
tutorial,a,a,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2F42e7bbfc-adc4-4310-b938-26a727eadbfb%2F1581610426140.-11_13_54.jpg,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2F42e7bbfc-adc4-4310-b938-26a727eadbfb%2F1581608177201.-10_36_28.jpg,,,,01H00481,1586,1,a,a,4,0,0,1,0,0,0,0,0,0,a,1,c,c,b,b,,,1,1,1,1,1.2,1.2,b,b,c,c,0,0,c,c,0,0,c,c,0,0,0,0,0,0,1,3,0,0,,,0,0,,,,,,,0,1,1,0,0,0,0,0,1,6,2,0,c,c,,,,,0,0,0,0,0,0,0,0,8,d,2,2,0,0,0,0,0,d,0,0,c,b,4,0,0,1,1,0,0,1,0,0,a,1,c,c,b,c,1586,1581608177201.-10_36_28.jpg,c,0,a,1,b,d,e,e,e,1581610426140.-11_13_54.jpg,,,,,,,-2.900231 -78.999276 0 25.173999786376953,,46696588,62,
tutorial,a,a,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2Fb94df8cd-f35d-4a86-af4a-b85017918030%2F1581611384780.-11_29_58.jpg,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2Fb94df8cd-f35d-4a86-af4a-b85017918030%2F1581612713480.-11_52_8.jpg,,,,01H00481,977,1,a,a,3,0,0,0,0,0,0,0,0,0,f,,a,a,b,b,,,1,1,1,1,1.1,1.1,b,b,b,a,0,0,d,d,1,1,d,d,0,0,0,2,0,0,2,0,0,2,,,0,0,,,,,,,0,0,0,0,0,0,0,0,1,2,2,1,c,c,,,,,0,0,0,0,0,0,0,0,7,d,2,8,0,0,0,0,0,d,0,1,c,c,3,0,0,0,0,0,0,0,0,0,f,,a,c,b,b,977,1581611384780.-11_29_58.jpg,c,0,a,1,a,c,d,e,c,1581612713480.-11_52_8.jpg,,,,,,,-2.901357 -78.997653 0 21.937999725341797,,46698565,63,
tutorial,a,a,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2F88a4d9cf-9d40-4484-961a-22d504c54f9d%2Fimage-12_3_43.jpg,https://kc.kobotoolbox.org/media/large?media_file=maps%2Fattachments%2F9e14805639b141dfa5f1f628f9a10933%2F88a4d9cf-9d40-4484-961a-22d504c54f9d%2Fimage-11_28_56.jpg,,,,01H00481,2153,1,a,a,4,0,0,1,0,0,0,0,0,0,a,1,c,c,b,b,,,1,1,1,1,2,2,b,b,b,b,0,0,c,c,0,0,b,b,0,1,0,0,0,0,0,2,0,0,,,0,0,,,,,,,0,4,0,2,0,0,0,0,2,4,0,0,c,c,,,,,0,0,0,0,0,0,0,0,11,d,2,8,0,0,0,0,0,d,0,0,b,c,4,0,0,0,0,0,0,0,0,0,f,,c,c,b,b,2153,image-11_28_56.jpg,b,0,a,0,b,c,c,c,b,image-12_3_43.jpg,,,,,,,-2.901709 -78.997839 2531.789638519287 10,,46699845,64,
